HUC_12,pCanopy
010100070206,68.409618402
010100070207,69.2018535469
010100070208,73.2395129891
010100070209,75.4977223994
010100070301,71.8999705796
010100070302,68.4734834502
010100070303,68.3215987455
010100070304,71.0196976448
010100070305,71.2683687997
010100070306,73.06138038
010100070401,68.4294209803
010100070402,73.255966223
010100070403,75.180744066
010100070404,75.9134781939
010100070405,78.1799359155
010100070502,80.4963592233
010100070503,75.796185346
010100070504,74.1887487173
010100070505,69.7939781854
010100070506,72.410091273
010100070507,74.5018534067
010100070601,68.4236490921
010100070602,77.1265167364
010100070603,73.4747698868
010100070604,69.5338321877
010100070605,72.6885664168
010100070606,71.9660821412
010100070607,73.3882973068
010100070701,66.0036747737
010100070702,75.4358158286
010100070703,72.4007071963
010100080101,74.810821414
010100080102,77.5746512083
010100080401,70.0978508629
010100080403,70.2291321757
010100080404,70.9188707828
010100080405,72.2009831168
010100080406,71.9955946564
010100080407,75.4169534163
010100080408,77.888959699
010100080503,72.1154225941
010100080504,61.01561632
010100081107,53.0099643524
010100081108,51.9634961269
010100090601,52.6961270346
010100090603,62.3488586284
010100090604,40.8954977137
010100090605,52.696218508
010100090607,51.3949263708
010100090608,52.7949657017
010100100101,50.3883548806
010100100102,49.7969340613
010100100201,26.2585160081
010100100202,48.7591061794
010100100203,39.6330704237
010100100204,58.4925447813
010100100205,55.4900415787
010100100206,34.916812124
010100100207,50.9867071781
010100110103,61.2932767435
010200010101,64.5607110057
010200010102,61.0503131241
010200010103,67.8225074332
010200010104,69.9291528075
010200010105,70.0413623083
010200010106,69.8686170442
010200010201,75.4566891102
010200010202,75.7245709191
010200010203,72.7968854397
010200010204,75.2674054037
010200010205,78.081012131
010200010206,73.583248731
010200010207,69.1353491022
010200010208,75.2114961053
010200010209,75.1909326475
010200010210,71.5177615498
010200010301,73.5844334195
010200010302,71.2612715527
010200010303,79.0221623044
010200010304,73.6828817033
010200010305,72.9698588209
010200010306,67.6064540647
010200010307,69.553682851
010200010308,69.7846342525
010200010401,70.5126923687
010200010402,63.0905770514
010200010403,75.5801790402
010200010404,71.0945525828
010200010501,67.0629164521
010200010502,69.8941793531
010200010503,71.3616838596
010200010504,74.8887821052
010200010505,69.4417950074
010200010506,73.8531006606
010200010507,76.3894883047
010200010508,71.6473973974
010200010509,70.6591445376
010200010601,76.718638098
010200010602,80.2451934768
010200010701,78.8902231424
010200010702,76.5940780457
010200010703,80.2842685927
010200010704,79.9060080298
010200010801,76.336769272
010200010802,76.0249527283
010200010803,78.4170157312
010200010804,77.2217852461
010200010805,70.6824003258
010200010901,77.7720893323
010200010902,76.9400317832
010200010903,78.9925387351
010200010904,75.7769689097
010200010905,71.8997901049
010200010906,76.7617910448
010200010907,74.6713618885
010200011001,78.5585577605
010200011002,74.3988317314
010200011003,73.5494637868
010200011004,71.7006390148
010200011005,66.3420867266
010200011006,73.8698985675
010200011007,69.5501987518
010200020101,78.4707535059
010200020102,77.3961372029
010200020103,70.5291081538
010200020104,67.2361708962
010200020105,74.8000449116
010200020106,73.7500310938
010200020107,77.1660873192
010200020108,78.1444622793
010200020201,75.7950339332
010200020202,75.9147047688
010200020203,77.3119909135
010200020204,79.5809501744
010200020205,77.1580958088
010200020301,75.0638003494
010200020302,76.9371809736
010200020303,80.2485724018
010200020304,79.5923321028
010200020401,75.307053052
010200020402,72.4475418057
010200020403,76.3994297802
010200020404,74.606272282
010200020405,74.9395655858
010200020406,74.8287219691
010200020407,75.0326473299
010200020408,74.6673706626
010200020501,77.8318378929
010200020502,78.5956049368
010200020503,71.4831231814
010200020504,74.0966554666
010200020505,76.0458688929
010200020506,74.9585114291
010200020507,75.1258041709
010200030101,73.1444334697
010200030102,73.3729094369
010200030103,72.8991436245
010200030104,72.0288349305
010200030105,72.181152185
010200030106,65.3725234116
010200030107,65.1177232086
010200030108,72.263800223
010200030109,73.0969457964
010200030110,70.0778939282
010200030111,69.3799735625
010200030112,77.0938034849
010200030113,75.8011984021
010200030201,71.2511753777
010200030202,58.0421028241
010200030203,72.600355377
010200030204,73.6777111987
010200030205,73.2790398079
010200030301,75.3293572541
010200030302,74.8406203743
010200030303,73.0976662126
010200030401,72.642587967
010200030402,72.182660598
010200030403,73.8317166504
010200030404,71.4308568836
010200030501,76.8832960922
010200030502,74.3683218589
010200030503,71.1604500039
010200030504,75.6236924019
010200030505,72.8171750442
010200030506,74.8025207801
010200030507,75.0033257317
010200030508,73.5439167646
010200030509,69.1240383949
010200030510,74.1123143887
010200030511,72.4225599477
010200030601,63.5124764635
010200030602,62.2364162589
010200030603,66.2954148726
010200030604,72.8466304451
010200030605,66.0132279363
010200030606,73.2382289995
010200030607,73.0330570629
010200030701,70.4813992478
010200030702,74.3140742878
010200030703,71.4993605336
010200030704,75.1170407793
010200040101,73.2703532301
010200040102,73.1874031437
010200040103,73.3793817398
010200040104,73.9836672045
010200040105,77.5877208026
